amr2
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mengacu padanya hanya sebagai """"saksi"""", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.""
(z0 / menu
    :ARG1 (z3 / mungkin-01
              :ARG1 (z4 / ambil-01
                        :ARG0 (z5 / perusahaan
                                  :wiki -
                                  :name (z6 / nama
                                            :op1 ""Vivendi""
                                            :op2 ""Uni""))
                        :ARG1 (z7 / kuantitas-moneter
                                  :unit (z8 / dolar))
                        :destination (z9 / perusahaan
                                         :wiki -
                                         :name (z10 / nama
                                                    :op1 ""Vue"")))))"
"# ::id 3415
# ::annotator indoamrbart-mbart-fted
# ::snt St George Seorang jaksa penuntut mengatakan pasangan Dorchester County bertanggung jawab atas kematian putra autis mereka yang berusia 6 tahun yang mayatnya ditemukan di sebuah kolam di dekat rumah keluarga.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :ARG0 (z2 / orang
                        :ARG0-of (z3 / menuntut-01))
              :ARG0-of (z4 / memiliki-peran-org-91
                           :ARG2 (z5 / jaksa)))
    :ARG1 (z6 / bertanggung-jawab-01
              :ARG0 (z7 / pasangan
                        :wiki -
                        :name (z8 / nama
                                  :op1 ""George""
                                  :op2 ""Dorchester""
                                  :op3 ""County""))
              :ARG1 (z9 / tewas-01
                        :ARG0 (z10 / orang
                                   :ARG0-of (z11 / memiliki-peran-rel-91
                                                 :ARG2 (z12 / anak
                                                            :mod (z13 / autis))))
                        :ARG1 (z14 / orang
                                   :ARG0-of (z15 / memiliki-peran-rel-91
                                                 :ARG2 (z16 / ayah))))
              :location (z17 / kolam
                             :location (z18 / dekat
                                            :op1 (z19 / rumah
                                                      :poss (z20 / keluarga)))
                             :age (z21 / kuantitas-sementara
                                       :unit (z22 / tahun)))))"
"# ::id 3416
# ::annotator indoamrbart-mbart-fted
# ::snt Komisi Perdagangan Selandia Baru telah memberi Westpac tidak ada indikasi apakah akan menyetujui kesepakatannya.
(z0 / memberi-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""Perdagangan""
                        :op2 ""Selandia""
                        :op3 ""Baru""))
    :ARG1 (z3 / sinyal-01
              :polarity -
              :ARG0 (z4 / perusahaan
                        :wiki -
                        :name (z5 / nama
                                  :op1 ""Westpac""))
              :ARG1 (z6 / menyetujui-01
                        :ARG0 z4
                        :ARG1 (z7 / kesepakatan
                                  :poss z4))))"
"# ::id 3417
# ::annotator indoamrbart-mbart-fted
# ::snt FBI mengatakan setidaknya 7000 komputer terinfeksi oleh perangkat lunak Parson.
(z0 / terinfeksi-01
    :ARG0 (z1 / perangkat-lunak
              :wiki ""Parson(c3000 / computer)""
              :name (z2 / nama
                        :op1 ""Parson""))
    :ARG1 (z3 / komputer
              :quant (z4 / setidaknya
                         :op1 7000)))"
"# ::id 3418
# ::annotator indoamrbart-mbart-fted
# ::snt Jumlah hari ketika pantai Texas mengalami nasihat renang turun dari 317 pada tahun 2001 menjadi 182 tahun lalu.
(z0 / turun-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Texas"")
              :ARG0-of (z3 / memiliki-peran-rel-91
                           :ARG2 (z4 / pacar)))
    :ARG1 (z5 / nomor
              :quant-of (z6 / jumlah
                            :quant-of (z7 / jumlah
                                          :quant-of (z8 / jumlah
                                                        :quant-of (z9 / jumlah
                                                                      :quant-of (z10 / hari
                                                                                     :time (z11 / entitas-tanggal)))))))
    :source (z12 / entitas-laju-91
                 :ARG4 (z13 / entitas-tanggal)))"
"# ::id 3419
# ::annotator indoamrbart-mbart-fted
# ::snt Komite Internasional Palang Merah, takut akan keselamatan stafnya yang beroperasi di Irak, mengumumkan untuk sementara menutup kantornya di Baghdad dan Basra.
(z0 / umum-01
    :ARG0 (z1 / organisasi
              :wiki ""InternationalPalangMerah""
              :name (z2 / nama
                        :op1 ""International""
                        :op2 ""Palang""
                        :op3 ""Merah""))
    :ARG1 (z3 / tutup-01
              :ARG0 z1
              :ARG1 (z4 / kantor
                        :poss z1)
              :location (z5 / dan
                            :op1 (z6 / kota
                                     :wiki ""Baghdad""
                                     :name (z7 / nama
                                               :op1 ""Baghdad""))
                            :op2 (z8 / kota
                                     :wiki ""Basra""
                                     :name (z9 / nama
                                               :op1 ""Basra"")))
              :duration (z10 / sementara))
    :manner (z11 / ketakutan-01
                 :ARG0 (z12 / orang
                            :ARG0-of (z13 / memiliki-peran-rel-91
                                          :ARG1 z1
                                          :ARG2 (z14 / staf)))
                 :ARG1 (z15 / aman-01
                            :ARG1 (z16 / orang
                                       :ARG0-of (z17 / memiliki-peran-org-91
                                                     :ARG1 z1
                                                     :ARG2 (z18 / staf)))
                            :location (z19 / negara
                                           :wiki ""Iraq""
                                           :name (z20 / nama
                                                      :op1 ""Iraq"")))))"
"# ::id 3420
# ::annotator indoamrbart-mbart-fted
# ::snt Ini mengadakan pemilihan pada tahun 1990, tetapi menolak untuk mengakui hasil ketika Liga Nasional Miss Suu Kyi untuk demokrasi dimenangkan oleh tanah longsor.
(z0 / dan
    :op1 (z1 / jalankan-01
             :ARG1 (z2 / pemilihan)
             :time (z3 / entitas-tanggal))
    :op2 (z4 / menolak-01
             :ARG0 (z5 / orang
                       :wiki -
                       :name (z6 / nama
                                 :op1 ""Miss""
                                 :op2 ""Suu""
                                 :op3 ""Kyi""))
             :ARG1 (z7 / mengakui-01
                       :ARG0 z5
                       :ARG1 (z8 / hasil
                                 :time (z9 / entitas-tanggal)
                                 :time (z10 / partai-politik
                                            :wiki -
                                            :name (z11 / nama
                                                       :op1 ""National""
                                                       :op2 ""Miss""
                                                       :op3 ""Suu""
                                                       :op4 ""Kyi""))
                                 :purpose (z12 / demokrasi
                                               :ARG1-of (z13 / menangkan-01
                                                             :ARG0 (z14 / tanah-longsor)))))))"
"# ::id 3421
# ::annotator indoamrbart-mbart-fted
# ::snt Temuan ini akan dilaporkan pada hari Jumat dalam jurnal Fisik Review Letters.
(z0 / melaporkan-01
    :ARG1 (z1 / tes
              :mod (z2 / ini))
    :time (z3 / entitas-tanggal
              :weekday (z4 / jumat))
    :location (z5 / jurnal
                  :wiki -
                  :name (z6 / nama
                            :op1 ""Fisik""
                            :op2 ""Review""
                            :op3 ""Letters"")))"
"# ::id 3422
# ::annotator indoamrbart-mbart-fted
# ::snt Ibukota negara itu tenang hari ini, dengan pemerintah federal ditutup untuk hari kedua.
(z0 / dan
    :op1 (z1 / tenang-01
             :ARG0 (z2 / ibu-kota
                       :part (z3 / negara))
             :time (z4 / hari
                       :mod (z5 / ini)))
    :op2 (z6 / tutup-01
             :ARG0 (z7 / organisasi-pemerintah
                       :ARG0-of (z8 / memerintah-01)
                       :mod (z9 / federal))
             :time (z10 / hari
                        :ord (z11 / entitas-ordinal))))"
"# ::id 3423
# ::annotator indoamrbart-mbart-fted
# ::snt Windows Media Player pernah memiliki masalah keamanan sebelumnya.
(z0 / memiliki-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Windows""
                        :op2 ""Media""
                        :op3 ""Player""))
    :ARG1 (z3 / masalah
              :mod (z4 / keamanan)
              :time (z5 / sebelumnya))
    :time (z6 / pernah))"
"# ::id 3424
# ::annotator indoamrbart-mbart-fted
# ::snt Pemegang obligasi Avon tidak memiliki jalan lain untuk aset Midlands dan pada satu titik khawatir Aquila akan gagal bayar pada pembayaran bunga.
(z0 / dan
    :op1 (z1 / jalan
             :polarity -
             :mod (z2 / lain)
             :beneficiary (z3 / aset
                              :poss (z4 / kota
                                        :wiki ""Midlands""
                                        :name (z5 / nama
                                                  :op1 ""Midlands""))))
    :op2 (z6 / khawatir-01
             :ARG0 (z7 / bayar-01
                       :ARG0 (z8 / orang
                                 :wiki -
                                 :name (z9 / nama
                                           :op1 ""Aquila""))
                       :ARG1-of (z10 / bunga-01))
             :time (z11 / titik)))"
"# ::id 3425
# ::annotator indoamrbart-mbart-fted
# ::snt Dia mengatakan kepada penyelidikan bahwa suaminya telah menerima jaminan dari manajer lini dan pejabat senior kementerian bahwa ketika dia maju, namanya tidak akan dipublikasikan.
(z0 / katakan-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / terima-01
              :ARG0 (z3 / orang
                        :ARG0-of (z4 / memiliki-peran-rel-91
                                     :ARG2 (z5 / suami)))
              :ARG1 (z6 / menjamin-01
                        :ARG0 (z7 / dan
                                  :op1 (z8 / orang
                                           :ARG0-of (z9 / memiliki-peran-org-91
                                                        :ARG2 (z10 / manajer
                                                                   :mod (z11 / garis))))
                                  :op2 (z12 / orang
                                            :ARG0-of (z13 / memiliki-peran-org-91
                                                          :ARG2 (z14 / resmi
                                                                     :mod (z15 / senior)
                                                                     :part (z16 / kementerian)))))
                        :ARG1 (z17 / publik-01
                                   :polarity -
                                   :ARG1 (z18 / nama
                                              :poss z1)
                                   :time (z19 / maju-01
                                              :ARG0 z1))))
    :ARG2 (z20 / penyelidikan))"
"# ::id 3426
# ::annotator indoamrbart-mbart-fted
# ::snt Walikota London Ken Livingstone mengumumkan pada akhir pekan bahwa polisi dan dinas keamanan telah menggagalkan empat serangan teroris di ibukota.
(z0 / umum-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Ken""
                        :op2 ""Livingstone"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / kota
                                     :wiki ""London""
                                     :name (z5 / nama
                                               :op1 ""London""))
                           :ARG2 (z6 / wali)))
    :ARG1 (z7 / gali-01
              :ARG0 (z8 / dan
                        :op1 (z9 / polisi)
                        :op2 (z10 / dinas
                                  :mod (z11 / keamanan)))
              :ARG1 (z12 / serangan
                         :mod (z13 / teroris)
                         :location (z14 / ibukota)))
    :time (z15 / entitas-tanggal
               :dayperiod (z16 / akhir
                               :mod (z17 / pekan))))"
"# ::id 3427
# ::annotator indoamrbart-mbart-fted
# ::snt Di malam hari, ia meminta enam pizza pepperoni dan dua bungkus minuman ringan, yang disampaikan oleh petugas.
(z0 / katakan-01
    :ARG0 (z1 / petugas)
    :ARG1 (z2 / meminta-01
              :ARG0 (z3 / dia)
              :ARG1 (z4 / dan
                        :op1 (z5 / pizza
                                 :mod (z6 / entitas-laju-91
                                          :ARG4 (z7 / entitas-tanggal
                                                    :dayperiod (z8 / malam
                                                                   :mod (z9 / itu)))))
                        :op2 (z10 / bungkus
                                  :mod (z11 / minuman
                                            :mod (z12 / ringan))))))"
"# ::id 3428
# ::annotator indoamrbart-mbart-fted
# ::snt Untuk periode setahun penuh yang berakhir 30 Juni 2003, jalur berkecepatan tinggi meningkat sebesar 45 persen.
(z0 / naik-06
    :ARG0 (z1 / jalur
              :mod (z2 / kecepatan
                       :mod (z3 / tinggi)))
    :ARG2 (z4 / entitas-persentase)
    :time (z5 / berakhir-01
              :ARG1 (z6 / entitas-tanggal)))"
"# ::id 3429
# ::annotator indoamrbart-mbart-fted
# ::snt Bertahun -tahun kemudian, Kuba menolak izin baginya untuk menghadiri pemakaman ayahnya.
(z0 / bubar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Kuba""))
    :ARG1 (z3 / izin-01
              :ARG1 (z4 / hadir-01
                        :ARG0 z1
                        :ARG1 (z5 / pemakaman
                                  :poss (z6 / orang
                                            :ARG0-of (z7 / memiliki-peran-rel-91
                                                         :ARG2 (z8 / ayah))))))
    :time (z9 / setelah
              :op1 (z10 / sekarang)
              :quant (z11 / kuantitas-sementara
                          :unit (z12 / tahun))))"
"# ::id 3430
# ::annotator indoamrbart-mbart-fted
# ::snt Paul Durousseau, 30, didakwa pada hari Selasa dengan pembunuhan dalam lima pembunuhan antara Desember dan Februari, dan juga diduga merupakan pembunuhan tahun 1997 di negara bagian Georgia.
(z0 / dan
    :op1 (z1 / terpidana-01
             :ARG1 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Paul""
                                 :op2 ""Durousseau"")
                       :age (z4 / kuantitas-sementara
                                :unit (z5 / tahun)))
             :ARG2 (z6 / pembunuhan-01)
             :time (z7 / antara
                       :op1 (z8 / entitas-tanggal)
                       :op2 (z9 / entitas-tanggal)))
    :op2 (z10 / tersangka-01
              :ARG1 (z11 / pembunuhan-01
                         :time (z12 / entitas-tanggal)
                         :location (z13 / negara
                                        :wiki ""Georgia(c3000 / country)""
                                        :name (z14 / nama
                                                   :op1 ""Georgia""))))
    :time (z15 / entitas-tanggal
               :weekday (z16 / selasa)))"
"# ::id 3431
# ::annotator indoamrbart-mbart-fted
# ::snt Masalah yang maju melebihi jumlah penentuan dengan rasio 4-ke-3 di New York Stock Exchange.
(z0 / melebihi-01
    :ARG0 (z1 / orang
              :ARG0-of (z2 / maju-01))
    :ARG1 (z3 / jumlah
              :mod (z4 / menentukan-01))
    :manner (z5 / rasio
                :mod (z6 / entitas-string
                         :value ""4ke-3""))
    :location (z7 / Exchange
                  :name (z8 / nama
                            :op1 ""New""
                            :op2 ""York""
                            :op3 ""Stock""
                            :op4 ""Exchange"")))"
"# ::id 3432
# ::annotator indoamrbart-mbart-fted
# ::snt Mississippi adalah di antara lima negara bagian terbawah pada sembilan tindakan lainnya.
(z0 / bawa-01
    :ARG0 (z1 / negara
              :mod (z2 / antara
                       :op1 5
                       :op2 ""Mississippi""))
    :ARG1 (z3 / tindakan
              :mod (z4 / lain)))"
"# ::id 3433
# ::annotator indoamrbart-mbart-fted
# ::snt Waktu sekitar jam 4 pagi pada tanggal 18 Maret, hanya beberapa jam sebelum rudal Pinpoint pertama menghujani ibukota.
(z0 / hujan-01
    :ARG0 (z1 / rudal
              :wiki -
              :name (z2 / nama
                        :op1 ""Pinpoint""))
    :ARG1 (z3 / ibukota)
    :time (z4 / entitas-tanggal)
    :time (z5 / sekitar
              :op1 (z6 / entitas-tanggal
                       :time ""4:00""))
    :time (z7 / sebelum
              :op1 (z8 / hujan-01
                       :ARG0 (z9 / rudal
                                 :wiki -
                                 :name (z10 / nama
                                            :op1 ""Pinpoint""))
                       :ARG1 (z11 / ibukota))
              :quant (z12 / beberapa
                          :op1 (z13 / kuantitas-sementara
                                    :unit (z14 / jam)))))"
"# ::id 3434
# ::annotator indoamrbart-mbart-fted
# ::snt Pelamar potensial lainnya tidak tertarik untuk memperoleh hanya bisnis musik.
(z0 / bunga-01
    :polarity -
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Pelamar"")
              :mod (z3 / potensi)
              :mod (z4 / lain))
    :ARG2 (z5 / memperoleh-01
              :ARG0 z1
              :ARG1 (z6 / bisnis
                        :mod (z7 / musik)
                        :mod (z8 / hanya))))"
"# ::id 3435
# ::annotator indoamrbart-mbart-fted
# ::snt ""Umumnya tidak diinginkan - dan sering kali pornografi atau dengan niat penipuan —spam adalah gangguan dan gangguan, """"tulis Gates.""
(z0 / tulis-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Gates""))
    :ARG1 (z3 / dan
              :op1 (z4 / ingin-01
                       :ARG0 (z5 / orang
                                 :wiki -
                                 :name (z6 / nama
                                           :op1 ""Umum""))
                       :ARG1 (z7 / tidak-suka-01
                                 :ARG0 z5))
              :op2 (z8 / atau
                       :op1 (z9 / pornografi)
                       :op2 (z10 / niat-01
                                 :ARG0 z5
                                 :ARG1 (z11 / menipu-01))
                       :frequency (z12 / sering))))"
"# ::id 3436
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Kami bertindak karena kami melihat bukti yang ada dalam cahaya baru, melalui prisma ... 11 September.""""""
(z0 / bertindak-01
    :ARG0 (z1 / kita)
    :ARG1 (z2 / melihat-01
              :ARG0 z1
              :ARG1 (z3 / bukti)
              :location (z4 / cahaya
                            :mod (z5 / baru))
              :manner (z6 / melalui
                          :op1 (z7 / prisma
                                   :time (z8 / entitas-tanggal)))))"
"# ::id 3437
# ::annotator indoamrbart-mbart-fted
# ::snt Indeks 500 Standard & Poor naik 10,89, atau 1,2 persen, menjadi 931,12 pada pukul 12:01 malam.di New York.
(z0 / naik-01
    :ARG0 (z1 / perusahaan
              :wiki ""Standard&Poor's""
              :name (z2 / nama
                        :op1 ""Standard""
                        :op2 ""&""
                        :op3 ""Poor's""))
    :ARG4 (z3 / entitas-persentase)
    :time (z4 / entitas-tanggal
              :time ""12:00"")
    :location (z5 / kota
                  :wiki ""NewYorkCity""
                  :name (z6 / nama
                            :op1 ""New""
                            :op2 ""York""))
    :ARG4 (z7 / entitas-persentase))"
"# ::id 3438
# ::annotator indoamrbart-mbart-fted
# ::snt Pada tahun 2002, pengeluaran untuk perawatan rumah sakit rawat inap tumbuh sebesar 6,8 persen dan itu untuk perawatan rumah sakit rawat jalan sebesar 14,6 persen.
(z0 / dan
    :op1 (z1 / tumbuh-01
             :ARG1 (z2 / mengeluarkan-01
                       :ARG0 (z3 / rumah-sakit
                                 :mod (z4 / rawat-inap))
                       :ARG3 (z5 / entitas-persentase))
             :time (z6 / entitas-tanggal))
    :op2 (z7 / tumbuh-01
             :ARG1 (z8 / mengeluarkan-01
                       :ARG0 (z9 / rumah-sakit
                                 :mod (z10 / rawat-jalan))
                       :ARG3 (z11 / entitas-persentase)))
    :op3 (z12 / tumbuh-01
              :ARG1 (z13 / mengeluarkan-01
                         :ARG0 (z14 / rumah-sakit
                                    :mod (z15 / jalan))
                         :ARG3 (z16 / entitas-persentase))))"
"# ::id 3439
# ::annotator indoamrbart-mbart-fted
# ::snt ""Dia menambahkan bahwa keputusan itu akan """"melemparkan kunci monyet ke dalam upaya FCC untuk mengembangkan kebijakan broadband nasional yang sangat penting.""""""
(z0 / menambahkan-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / lempar-01
              :ARG0 (z3 / keputusan)
              :ARG1 (z4 / kunci
                        :mod (z5 / monyet))
              :destination (z6 / usaha-01
                               :ARG0 (z7 / perusahaan
                                         :wiki ""FCC""
                                         :name (z8 / nama
                                                   :op1 ""FCC""))
                               :ARG1 (z9 / mengembangkan-01
                                         :ARG0 z7
                                         :ARG1-of (z10 / penting-01
                                                       :degree (z11 / sangat))
                                         :topic (z12 / kebijakan
                                                     :mod (z13 / broadband)
                                                     :mod (z14 / nasional))))))"
"# ::id 3440
# ::annotator indoamrbart-mbart-fted
# ::snt Sonoma kemudian ditemukan di dekat Pemakaman Tacoma, di selatan Tacoma Mall.
(z0 / menemukan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Sonoma""))
    :location (z3 / dekat
                  :op1 (z4 / kota
                           :wiki ""Tacoma""
                           :name (z5 / nama
                                     :op1 ""Tacoma"")))
    :location (z6 / selatan
                  :part (z7 / mall
                            :wiki ""TacomaMall""
                            :name (z8 / nama
                                      :op1 ""Tacoma""
                                      :op2 ""Mall"")))
    :time (z9 / lalu))"
"# ::id 3441
# ::annotator indoamrbart-mbart-fted
# ::snt Sumbangan yang berasal dari serangan 11 September membantu mendorong kontribusi ke organisasi layanan manusia sebesar 15 persen dan ke cabang besar United Way sebesar 28,6 persen.
(z0 / dan
    :op1 (z1 / sumbang-01
             :ARG1 (z2 / organisasi
                       :wiki ""Unitedmanusia""
                       :name (z3 / nama
                                 :op1 ""manusia""))
             :ARG2 (z4 / entitas-persentase)
             :time (z5 / entitas-tanggal))
    :op2 (z6 / sumbang-01
             :ARG0 (z7 / cabang
                       :mod (z8 / besar)
                       :poss (z9 / organisasi
                                 :wiki ""UnitedWay(U3000 / UnitedStates)""
                                 :name (z10 / nama
                                            :op1 ""United""
                                            :op2 ""Way"")))
             :ARG1 (z11 / kontribusi)
             :ARG2 (z12 / entitas-persentase)))"
"# ::id 3442
# ::annotator indoamrbart-mbart-fted
# ::snt Pernyataan FBI mengatakan proses hukum diharapkan Senin di pengadilan federal di Baltimore.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""FBI""))
    :ARG1 (z3 / mengharapkan-01
              :ARG1 (z4 / proses-01
                        :ARG1 (z5 / hukum))
              :time (z6 / entitas-tanggal
                        :weekday (z7 / senin))
              :location (z8 / pengadilan
                            :mod (z9 / federal)
                            :location (z10 / kota
                                           :wiki ""Baltimore""
                                           :name (z11 / nama
                                                      :op1 ""Baltimore"")))))"
"# ::id 3443
# ::annotator indoamrbart-mbart-fted
# ::snt ""WHO mengatakan kasus Singapura tidak sesuai dengan profil SARS dan """"bukan masalah kesehatan masyarakat internasional.""""""
(z0 / dan
    :op1 (z1 / mengatakan-01
             :ARG0 (z2 / organisasi
                       :wiki ""WorldHealthOrganization""
                       :name (z3 / nama
                                 :op1 ""WHO""))
             :ARG1 (z4 / sesuai-01
                       :polarity -
                       :ARG0 (z5 / kasus
                                 :mod (z6 / negara
                                          :wiki ""Singapore""
                                          :name (z7 / nama
                                                    :op1 ""Singapore"")))
                       :ARG1 (z8 / profil
                                 :mod (z9 / penyakit
                                          :wiki ""SARS""
                                          :name (z10 / nama
                                                     :op1 ""SARS"")))))
    :op2 (z11 / masalah
              :domain (z12 / kesehatan
                           :poss (z13 / masyarakat
                                      :mod (z14 / internasional)))))"
"# ::id 3444
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Dia pembunuh yang dikenal yang merupakan rekan dekat dalang 11 September Khalid Shaikh Mohammed.""
(z0 / dekat-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Khalid""
                        :op2 ""Shaikh""
                        :op3 ""Mohammed"")
              :ARG0-of (z3 / memiliki-peran-rel-91
                           :ARG1 (z4 / orang
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""Khalid""
                                               :op2 ""Shaikh""
                                               :op3 ""Mohammed""))
                           :ARG2 (z6 / rekan)))
    :ARG1 (z7 / tewas-01
              :ARG1 (z8 / dia))
    :time (z9 / entitas-tanggal))"
"# ::id 3445
# ::annotator indoamrbart-mbart-fted
# ::snt Analis memperkirakan penjualan tahunan Xolair akan mencapai $ 200 juta.
(z0 / estimasi-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Anal""
                        :op2 ""Xolair""))
    :ARG1 (z3 / mencapai-02
              :ARG0 (z4 / penjualan
                        :mod (z5 / tahun))
              :ARG1 (z6 / kuantitas-moneter
                        :unit (z7 / dolar))))"
"# ::id 3446
# ::annotator indoamrbart-mbart-fted
# ::snt Dengan amplifier terintegrasi untuk mengemudi mikrofon dan speaker, Bluecore3-multimedia tersedia dalam paket LFBGA.
(z0 / tersedia-01
    :ARG1 (z1 / produk
              :wiki -
              :name (z2 / nama
                        :op1 ""Bluecore3""
                        :op2 ""multimedia""))
    :location (z3 / paket
                  :mod (z4 / produk
                           :wiki -
                           :name (z5 / nama
                                     :op1 ""LFBGA"")))
    :purpose (z6 / naik-01
                 :ARG0 (z7 / amplifier
                           :ARG1-of (z8 / terintegrasi-01))
                 :ARG1 (z9 / dan
                           :op1 (z10 / mikrofon)
                           :op2 (z11 / speaker))))"
"# ::id 3447
# ::annotator indoamrbart-mbart-fted
# ::snt Indeks Russell 2000, yang melacak saham perusahaan yang lebih kecil, naik 1,02, atau 0,21 persen, di 496,83.
(z0 / naik-01
    :ARG0 (z1 / saham
              :poss (z2 / perusahaan)
              :ARG1 (z3 / entitas-laju-91
                        :ARG1-of (z4 / memiliki-derajat-91
                                     :ARG2 (z5 / kecil)
                                     :ARG3 (z6 / lebih))))
    :ARG4 (z7 / atau
              :op1 (z8 / entitas-laju-91
                       :ARG1 (z9 / entitas-laju-91
                                 :ARG2 (z10 / kuantitas-moneter
                                            :unit (z11 / dolar)))
                       :ARG2 (z12 / entitas-tanggal))
              :op2 (z13 / entitas-laju-91
                        :ARG1 (z14 / entitas-laju-91
                                   :ARG2 (z15 / entitas-persentase))
                        :ARG2 (z16 / entitas-tanggal))))"
"# ::id 3448
# ::annotator indoamrbart-mbart-fted
# ::snt Di Chatsworth, 32 mil barat laut Los Angeles, penduduk rumah jutaan dolar di sana disuruh mengumpulkan barang-barang mereka.
(z0 / suruh
    :ARG0 (z2 / penduduk
              :mod (z3 / rumah)
              :quant (z4 / beberapa
                         :op1 (z5 / kuantitas-moneter
                                  :unit (z6 / dolar)))
              :location (z7 / ada))
    :ARG2 (z8 / bawa-01
              :ARG0 z2
              :ARG1 (z9 / baik
                        :poss z2)))"
"# ::id 3449
# ::annotator indoamrbart-mbart-fted
# ::snt Pada 19 Desember, ia memberi Moore 15 hari untuk menghapusnya, tetapi seminggu kemudian tetap memesan pesanannya sambil menunggu banding Moore ke Pengadilan Banding Sirkuit AS ke -11.
(z0 / dan
    :op1 (z1 / memberi-01
             :ARG0 (z2 / dia)
             :ARG1 (z3 / kuantitas-sementara
                       :unit (z4 / hari))
             :ARG2 (z5 / orang
                       :wiki -
                       :name (z6 / nama
                                 :op1 ""Moore""))
             :time (z7 / entitas-tanggal))
    :op2 (z8 / pesan-01
             :ARG0 (z9 / dia)
             :ARG1 (z10 / pesanan
                        :poss z9)
             :time (z11 / setelah
                        :op1 (z12 / sekarang)
                        :quant (z13 / kuantitas-sementara
                                    :unit (z14 / minggu))))
    :op3 (z15 / menunggu-01
              :ARG1 z9
              :ARG2 (z16 / banding-01
                         :ARG0 (z17 / dia)
                         :ARG1 (z18 / orang
                                    :wiki -
                                    :name (z19 / nama
                                               :op1 ""Sirkuit""
                                               :op2 ""AS""))
                         :time (z20 / entitas-tanggal))))"
"# ::id 3450
# ::annotator indoamrbart-mbart-fted
# ::snt Mantan presiden berusia 92 tahun itu menderita penyakit Alzheimer.
(z0 / menderita-01
    :ARG0 (z1 / orang
              :ARG0-of (z2 / memiliki-peran-rel-91
                           :ARG2 (z3 / presiden))
              :age (z4 / kuantitas-sementara
                       :unit (z5 / tahun)))
    :ARG1 (z6 / penyakit
              :wiki ""Alzheimer'sdisease""
              :name (z7 / nama
                        :op1 ""Alzheimer's"")))"
"# ::id 3451
# ::annotator indoamrbart-mbart-fted
# ::snt Daniels mengatakan dia tidak tahu apa yang akan dikatakan Bush pada resepsi malam $ 2.000 per orang malam ini untuk mengumpulkan dana untuk tawaran pemilihan ulang presidennya.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Daniel""
                        :op2 ""Daniel""))
    :ARG1 (z3 / mengetahui-01
              :ARG0 (z4 / dia)
              :ARG1 (z5 / hal
                        :ARG1 (z6 / katakan-01
                                  :ARG0 (z7 / orang
                                            :wiki ""GeorgeW.Bush""
                                            :name (z8 / nama
                                                      :op1 ""Bush""))
                                  :ARG1 (z9 / entitas-laju-91
                                            :ARG1 (z10 / kuantitas-moneter
                                                       :unit (z11 / dolar))
                                            :ARG2 (z12 / entitas-laju-91
                                                       :ARG1 (z13 / malam
                                                                  :mod (z14 / ini)))
                                            :ARG3 (z15 / kuantitas-moneter
                                                       :unit (z16 / orang)))))
              :ARG2 (z17 / tawaran-01
                         :ARG0 z7
                         :ARG1 (z18 / pilih-01
                                    :ARG0 z7
                                    :ARG1 (z19 / presiden
                                               :mod (z20 / ulang))))))"
"# ::id 3452
# ::annotator indoamrbart-mbart-fted
# ::snt Mei lalu, Hatfill ditabrak oleh kendaraan yang dikendarai oleh seorang karyawan FBI yang membawanya di lingkungan Georgetown Washington.
(z0 / atak-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Hatfill""))
    :ARG1 (z3 / kendaraan
              :ARG1 (z4 / naik-01
                        :ARG0 (z5 / orang
                                  :ARG0-of (z6 / memiliki-peran-org-91
                                               :ARG1 (z7 / organisasi
                                                         :wiki ""FBI""
                                                         :name (z8 / nama
                                                                   :op1 ""FBI""))
                                               :ARG2 (z9 / karyawan))))
              :location (z10 / lingkungan
                             :wiki ""GeorgetownWashington,Washington,D.C.""
